,SAN,BTO_1,BKIA_0,BKIA,NTGY,TRE,ACX_0,ACX,FER,ACS,ELE_0,ELE,SAB,CRI,OHL,IBR,EBRO_0,EBRO_1,AMS,AENA,ITX,MTS,IAG,VIS_0,VIS,IBLA,BBVA,MAP,BME,CIE,MAS,IBE,ABG,ENG,SCYR_1,REP,ABE,ABG.P_0,ABG.P_1,ANA_0,ANA,EVA,GRF,CLNX,MRL,BKT,POP,ENC,IDR,SGRE_0,SGRE,MEL,TL5,REE,COL,JAZ,TEF,FCC,CABK,DIA,ALM,REE_0,CIN,LOR,UNF,ZEL,NHH_0,NHH_1,MAP_0,ALT,BTO_0,FAD,DRC,PRS_1,SCYR_0,TEM,CAR,AGS,COL_0,A3TV,SGC,PHM,SLR,FDR,ROVI
2003-07-30,2.4048158016,,,,5.879236081,,5.0747364156,,,5.2465057673,2.2309495065,,,,,,,,,,3.0739190604,,,,,1.37,3.5495773674,,,,,1.5197238191,,2.8733442681,,4.5830217386,3.075923398,,,26.773482287,,,,,,2.0903523281,12.21,,6.57,4.6716495087,,,,,,,3.1935713633,10.613094863,,,,1.365981892,,10.29,3.94,5.87,6.2124391954,,0.7979768500000001,20.09,,,18.1,,4.822013018,6.57,,,,,19.78,,,,
2003-07-31,2.4048158016,,,,5.9244609740000005,,5.1095545042,,,5.2837150278,2.2462824927,,,,,,,,,,3.0480878081,,,,,1.3900000000000001,3.6403981103,,,,,1.5348454492,,2.9009063236,,4.5955265727,3.075923398,,,27.018148574,,,,,,2.1307066203,12.52,,6.71,4.7129915397,,,,,,,3.2202400177,10.74263569,,,,1.3766351302,,10.49,3.96,6.03,6.2313507303,,0.8374806544000001,20.19,,,18.13,,4.8789339135,6.54,,,,,19.96,,,,
2003-08-01,2.4048158016,,,,5.9244609740000005,,5.0747364156,,,5.2465057673,2.2309495065,,,,,,,,,,3.0222565552,,,,,1.34,3.6328297150999997,,,,,1.489480559,,2.8664537544,,4.5830217386,3.0668230329,,,26.983196247,,,,,,2.106494045,12.48,,6.65,4.6799179149,,,,,,,3.1869041999,10.557577366,,,,1.3624308126,,10.2,3.86,6.25,6.2597180326,,0.8453814154,19.89,,,18.19,,4.8057499049,6.52,,,,,20.05,,,,
2003-08-04,2.4048158016,,,,5.8566236346,,5.0747364156,,,5.2762731758,2.2156165201,,,,,,,,,,3.0480878081,,,,,1.3599999999999999,3.5874193436,,,,,1.4970413740000001,,2.8802347821,,4.5767693214000005,3.0668230329,,,26.88707735,,,,,,2.106494045,12.12,,6.75,4.6303074776,,,,,,,3.1535683818,10.566830282,,,,1.3576960399,,10.1,3.86,6.12,6.2597180326,,0.8295798936000001,20.07,,,18.2,,4.7813552354,6.49,,,,,19.76,,,,
2003-08-05,2.4048158016,,,,5.8566236346,,5.0312138049,,,5.2688313237,2.2539489858,,,,,,,,,,3.0394773905,,,,,1.38,3.6403981103,,,,,1.5046021890999999,,2.8733442681,,4.6017789899,3.075923398,,,26.563768327,,,,,,2.1226357618,12.16,,6.73,4.6633811025,,,,,,,3.1869041999,10.511312785,,,,1.3730840509,,10.15,3.92,6.15,6.335364172,,0.8374806544000001,20.02,,,18.2,,4.822013018,6.52,,,,,19.82,,,,
2003-08-06,2.3579687407,,,,5.8264737059,,4.9789866718999995,,,5.2390639152,2.2232830133,,,,,,,,,,3.0308669729,,,,,1.38,3.5874193436,,,,,1.4970413740000001,,2.8940158097,,4.5642644871,3.0577226678,,,26.651149143,,,,,,2.066139753,11.99,,6.51,4.5972338528000005,,,,,,,3.1802370361,10.650106528,,,,1.3517775743,,9.91,3.9,6.07,6.4204660787,,0.8374806544000001,20.17,,,18.26,,4.8138814615,6.48,,,,,19.54,,,,
2003-08-07,2.3345452101,,,,5.8867735632,,4.9789866718999995,,,5.2316220629,2.2462824927,,,,,,,,,,2.9792044677,,,,,1.3900000000000001,3.5722825532,,,,,1.489480559,,2.9215778651,,4.5830217386,3.0486223027,,,26.773482287,,,,,,2.0742106113,12.04,,6.5600000000000005,4.5889654465,,,,,,,3.1669027089,10.529818618,,,,1.3470428017,,9.75,3.91,5.98,6.448833381,,0.8374806544000001,20.03,,,18.15,,4.8138814615,6.48,,,,,19.06,,,,
2003-08-08,2.3501608969,,,,5.9093860096,,5.0051002384,,,5.2465057673,2.2462824927,,,,,,,,,,2.9619836328,,,,,1.38,3.5722825532,,,,,1.5121630041,,2.9215778651,,4.6330410753999995,3.0577226678,,,26.825910778,,,,,,2.0822814697,11.99,,6.48,4.6137706652,,,,,,,3.1869041999,10.511312785,,,,1.3565123472,,9.81,3.9,6.06,6.5339352878,,0.8374806544000001,20.22,,,18.2,,4.822013018,6.48,,,,,18.61,,,,
2003-08-11,2.3657765841,,,,5.9244609740000005,,4.9789866718999995,,,5.2390639152,2.2462824927,,,,,,,,,,2.9964253028,,,,,1.4,3.5874193436,,,,,1.5046021890999999,,2.9491399203,,4.726827332,3.0668230329,,,26.773482287,,,,,,2.0742106113,11.99,,6.55,4.6220390715,,,,,,,3.2002385269999998,10.529818618,,,,1.3553286538,,9.78,3.93,6.04,6.4204660787,,0.8374806544000001,20.33,,,18.24,,4.822013018,6.52,,,,,18.93,,,,
2003-08-12,2.4048158016,,,,5.9621483849,,4.9789866718999995,,,5.2465057673,2.2462824927,,,,,,,,,,3.0222565552,,,,,1.4,3.6328297150999997,,,,,1.5121630041,,3.0318260864,,4.7455845832,3.0668230329,,,26.922029676,,,,,,2.0742106113,12.12,,6.57,4.6220390715,,,,,,,3.2135728543,10.622347779,,,,1.3576960399,,9.91,3.94,6.02,6.4677449159,,0.8374806544000001,20.2,,,18.21,,4.838276131,6.53,,,,,19.06,,,,
